en,notes,length (ignore),de,it,es
"Before you can advance, you must have any two Dark Age Buildings: Lumber Camp, Mining Camp, Mill, Dock, or Barracks",,115,"Fortschreiten benötigt zwei Gebäude der Dunklen Zeit: Holzfällerlager, Bergarbeiterlager, Mühle, Hafen oder Kaserne","Per progredire è necessario disporre di due tra le seguenti costruzioni dell'alto Medioevo: falegnameria, area mineraria, mulino, porto o alloggiamenti","Antes de poder avanzar, debes tener dos edificios cualquiera de la Alta Edad Media: Campamento Maderero, Campamento Minero, Molino, Muelle o Cuartel"
"Before you can advance, you must have any two Feudal Age Buildings: Archery Range, Stable, Blacksmith, or Market",,112,"Fortschreiten benötigt zwei Gebäude der Feudalzeit: Schießanlage, Stall, Schmiede oder Markt","Per progredire è necessario disporre di due tra le seguenti costruzioni dell'età feudale: area di tiro con l'arco, scuderia, fabbro o mercato.","Antes de poder avanzar, debes tener dos edificios cualquiera de la Edad Feudal: Galería de Tiro con Arco, Establo, Herrería o Mercado"
Eliminates the minimum range of all Towers and Castles so they can fire at enemies attacking their base,,103,"Entfernt die Mindestreichweite für Türme und Burgen, sodass sie Einheiten unter ihnen angreifen können","Elimina la gittata minima da tutte le torri e dai castelli, consentendo di colpire i nemici che ne attaccano la base",Elimina el alcance mínimo de todas las Torres y Castillos para que puedan disparar a los enemigos que atacan su base
"Used to build and improve ships, deposit food from Fishing Ships, and trade with other players by sea",,101,"Verwendet zum Bauen und Verbessern von Schiffen, als Sammelstelle für Fischkutter und um mit anderen Spielern über Waser zu handeln","Utilizzato per costruire e potenziare le navi, depositare il cibo raccolto dalle navi da pesca e commerciare via mare con altri giocatori","Usado para construir y mejorar barcos, depositar la comida de los Barcos Pesqueros y comerciar con otros jugadores por mar"
Constructing a Wonder that stands for 400 years is one way to win the game (not on conquest setting),,100,Ein Wunder zu bauen das für 400 Jahre steht ist eine Möglichkeit zu siegen (außer bei Sieg:Eroberung),"Se la meraviglia resiste per 400 anni, consente di vincere la partita (ma non con l'opzione conquista)",Construir una Maravilla que se mantenga durante 400 años es una manera de ganar la partida (no en partidas de Conquista)
"Used to buy and sell resources, trade with other players by land, and research trade improvements",,97,Verwendet um Ressourcen zu (Ver-)kaufen und mit anderen Spielern zu Handeln,"Utilizzato per acquistare e vendere le risorse, commerciare via terra con altri giocatori e potenziare le capacità commerciali","Usado para comprar y vender recursos, comerciar con otros jugadores por tierra y desarrollar mejoras de comercio"
Treason (Regicide games) reveals the position of all enemy Kings to your team for a few seconds,,95,Verrat (Königsmord) zeigt für wenige Sekunden deinem Team die Position aller feindlichen Könige,"Il tradimento (in partite di regicidio) rivela alla propria squadra, per pochi secondi, la posizione di re nemici",Traición (partidas Regicida) revela la posición de todos los Reyes enemigos a tu equipo durante unos pocos segundos
"Lets you build Bombard Towers, which have an extremely powerful attack, but slow rate of fire",,93,"Lässt dich Kanonentürme bauen, die einen hohen Angriff haben, aber langsam feuern","Consente di costruire torri con bombarda, dotata di elevata potenza di attacco ma lento rateo di fuoco","Te permite construir Torres de Bombardeo, que tienen un ataque extramademente poderoso, pero una baja tasa de disparo"
Units converted by an enemy Monk (or Missionary) die instead of changing to the enemy's color,,93,"Von feindlichen Mönchen/Missionaren bekehrte Einheiten sterben, anstatt vom Gegner kontrolliert zu werden",Le unità convertite da un monaco o missionario nemico muoiono invece di passare al campo nemico,Las unidades convertidas por un Monje (o Misionario) enemigo mueren en lugar de ser convertidas al color enemigo
"Detonates to damage Buildings, strong against Walls and Castles, ideal for a surprise attack",,92,"Detoniert um Gebäude zu schädigen, stark gegen Mauern und Burgen, ideal für Überaschungsangriffe","Danneggia le costruzioni facendosi esplodere, devastante contro mura e castelli, ideale per attacchi a sorpresa","Explota para dañar a los Edificios, fuerte contra Muros y Castillos, ideal para un ataque sorpresa"
Allows Huskarls to be created at the Barracks (profiting from faster creation time there),,89,Ermöglicht Huskarle in Kasernen auszubilden (in weniger Zeit),Consente di creare gli huskarl negli alloggiamenti (con il vantaggio di avere il loro tempo di creazione più veloce),Permite crear Huscarles en los Cuarteles (beneficiándose de una mayor velocidad de creación)
"except Town Centers, Castles, Monasteries, Farms, Fish Traps, Walls, Gates, and Wonders",,87,"außer Dorfzentren, Burgen, Klöster, Felder, Reusen, Mauern, Tore und Wunder","esclusi centri città, castelli, monasteri, fattorie, trappole per pesci, mura, cancelli e meraviglie","excepto Centros Urbanos, Castillos, Monasterios, Granjas, Trampas para Peces, Murallas, Puertas y Maravillas"
"Used to create your unique unit, build Trebuchets, and improve Villagers and Buildings",,86,"Verwendet um Spezialeinheiten auszubilden, Triböke zu bauen und Gebäude und Dorfbewohner zu verbessern","Utilizzato per creare unità riservate, costruire trabucchi e potenziare abitanti e costruzioni","Usado para crear tu unidad única, construir Trebuchets, y mejorar Aldeanos y Edificios"
Used to deposit stone and gold and research stone-mining and gold-mining improvements,,85,Verwendet um Gold und Stein abzulegen und Abbau-Technologien zu erforschen,Utilizzata per depositare pietra e oro e potenziare le capacità di estrazione,Usado para depositar piedra y oro y desarrollar mejoras para la minería de piedra y oro
"Each time you research Treason, 400 gold is immediately deducted from your stockpile",,84,Jedes Erforschen von Verrat kostet 400 Gold,"Ogni volta che si ricorre al tradimento, 400 unità d'oro vengono immediatamente sottratte dalle riserve","Cada vez que investigas Traición, se resta 400 oro de tus reservas"
"Used to improve Infantry, Archers, Cavalry, Towers, Town Centers, Castles, and Ships",,84,"Verwendet um Infanterie, Bogenschützen, Kavallerie, Türme, Dorfzentren, Burgen und Schiffe zu verbessern","Utilizzato per potenziare fanteria, arcieri, cavalleria, torri, centri città, castelli e navi","Usado para mejorar Infantería, Arqueros, Caballería, Torres, Centros Urbanos, Castillos y Barcos"
Villagers work more efficiently by moving 10% faster and carrying 25% more resources,,84,"Dorfbewohner arbeiten effizienter, indem sie 10% schneller gehen und 25% mehr Ressourcen tragen",Rende più efficiente il lavoro degli abitanti del villaggio. Velocità di spostamento: +10%; quantità di risorse trasportate: +25%,Los Aldeanos trabajan más eficientemente al moverse un 10% más rápido y llevar un 25% más de recursos
Villagers work more efficiently by moving 10% faster and carrying 50% more resources,,84,"Dorfbewohner arbeiten effizienter, indem sie 10% schneller gehen und 50% mehr Ressourcen tragen",Rende più efficiente il lavoro degli abitanti del villaggio. Velocità di spostamento: +10%; quantità di risorse trasportate: +50%,Los Aldeanos trabajan más eficientemente al moverse un 10% más rápido y llevar un 50% más de recursos
"Powerful anti-Building siege weapon with very long range, but immobile while firing",,83,"Belagerungswaffe mit sehr großer Reichweite, stark gg. Gebäude, aber muss aufgebaut werden","Potente unità da assedio anti-costruzioni a lunghissima gittata, ma incapace di muoversi mentre è azionata","Arma de Asedio anti-Edificios poderosa de muy largo alcance, pero inmóvil mientras dispara"
A stationary watch point that provides advance warning of nearby enemy activity,,79,Ein fester Aussichtsposten um feindliche Aktivität zu entdecken,Un punto di osservazione fisso per informazioni tempestive sull'attività nemica nei dintorni,Un punto de vigilancia fijo que advierte de actividad enemiga en las zonas próximas
"slow ships with slow rate of fire, long range and very strong against Buildings",,79,"langsame Schiffe, die langsam feuern, mit großer Reichweite und stark gg. Gebäude",nave lenta con basso rateo di fuoco e lunga gittata. Devastante contro le costruzioni,"barcos lentos con una baja tasa de disparo, largo alcance y muy fuertes contra Edificios"
Trade Cog gold generation rate remains the same as they get less gold per trip,,78,"Goldgeneration von Handelskoggen bleibt gleich, da sie pro Fahrt weniger Gold laden",Il rateo di generazione d'oro delle navi da carico rimane invariato in quanto depositano meno oro per ciascun viaggio,La tasa de generación de oro de las Urcas Mercantes permanece igual ya que obtienen menos oro por trayecto
No buildings required to advance to the next Age or to unlock other buildings,,77,Keine Gebäude benötigt um Zeitalter fortzuschreiten oder andere Gebäude freizuschalten,Non è necessario edificare costruzioni per raggiungere l'età successiva o sbloccare altre costruzioni,No se requieren edificios para avanzar a la siguiente Edad o para desbloquear otros edificios
"Unlike other Towers, Outposts do not attack or let you garrison units inside",,76,Anders als Türme können Außenposten nicht angreifen oder Einheiten quartieren,"A differenza delle altre torri, gli avamposti non effettuano attacchi e non possono essere presidiati","A diferencia de otras Torres, los Puestos Avanzados no atacan ni te permiten guarecer unidades en su interior"
"Costs 2x wood cost and no stone to repair, but stone stockpile may not be 0",,75,"Kostet 2x Holz und kein Stein zum Reparieren, aber man muss mehr als 0 Stein haben","Costa due volte il suo costo in legname ma non costa pietra, tuttavia la riserva di pietra non può essere pari a zero","Cuesta 2x madera y nada de piedra para ser reparado, pero la piedra acumulada en tus reservas debe ser mayor de 0"
"Used to create Villagers, deposit all resources and advance to the next Age",,75,"Verwendet um Dorfbewohner zu erschaffen, alle Ressourcen abzulegen und ins nächste Zeitalter fortzuschreiten","Utilizzato per creare abitanti del villaggio, depositare tutti i tipi di risorse e passare all'età successiva","Usado para crear Aldeanos, depositar todo tipo de recursos y avanzar a la siguiente Edad"
Your current/supportable population is shown at the top of the game screen,,74,Deine aktuelle/verfügbare Bevölkerung wird am oberen Rand angezeigt,La popolazione attuale/sostenibile della civiltà è indicata nella parte superiore della schermata,Tu población actual/soportable es mostrada en la parte superior de la pantalla
"Vietnamese mercenary unit, available when teamed with a Vietnamese player",,73,Benötigt Vietnamesen im Team,"Unità mercenaria vietnamita, disponibile se si è in squadra con un giocatore vietnamita","Unidad mercenaria vietnamita, disponible cuando se esté aliado con un jugador vietnamita"
reveals all enemy units and buildings by showing you their line of sight,,72,zeigt die Sicht aller feindlichen Einheiten und Gebäude,Rivela tutte le unità e le costruzioni nemiche mostrandone il campo visivo,revela todos los edificios y unidades enemigos al mostrarte su línea de visión
Warship damaging all units in the path of its projectile like a Scorpion,,72,"Kriegsschiff, dass wie ein Skorpion alle Einheiten in der Schussbahn schädigt","Nave da guerra che danneggia tutte le unità nel percorso del suo proiettile, come una balestra","Barco de Guerra que daña a todas las unidades que se encuentren en la trayectoria de su proyectil, como un Escorpión"
You and your allies share the same line of sight (you see what they see),,72,Du hast dieselbe Sicht wie deine Verbündeten,Tu ed i tuoi alleati condividete lo stesso campo visivo (vedi ciò che vedono loro),Tú y todos tus aliados compartís la misma línea de visión (ves lo que ellos ven)
Can be built into existing walls (Without getting those resources back),,71,Können in bestehende Mauern gebaut werden (ohne Steine zurück zu bekommen),Può essere inserito nelle mura già esistenti (senza riottenere le loro risorse),Puede ser construida sobre muros existentes (sin conseguir esos recursos de vuelta)
Reveal all enemy units and buildings by showing you their line of sight,,71,Zeigt die Sicht aller feindlichen Einheiten und Gebäude,Rivela tutte le unità e le costruzioni nemiche mostrandone il campo visivo,Revela todos los edificios y unidades enemigos al mostrarte su línea de visión
as extra docks for military production can mess up the water tradeline,,70,da die Handelsroute von zusätzlichen Häfen für Militär beeinflusst wird,in quanto ulteriori porti utilizzati per la creazione di unità militari potrebbero interferire con il commercio in mare,ya que los puertos adicionales para la producción militar pueden entorpecer la ruta comercial marítima
Build near a forage bush or other source of food to gather food faster,,70,"Baue neben einer Nahrungsquelle, um schneller zu sammeln","Per rendere più efficiente la raccolta di cibo, costruire mulini vicino ad aree di raccolta o altre fonti di cibo",Constrúyelo cerca de un arbusto de forraje u otra fuente de comida para recolectarla más rápido
Detonates to damage massed enemy ships or land units crossing shallows,,70,Detoniert um feindliche Flotten oder Armeen zu schädigen,Danneggia navi nemiche raggruppate o unità di terra che si trovano sulle secche facendosi esplodere,Explota para dañar a los barcos enemigos en masa o a las unidades terrestres cruzando vados
"Strong attack, but inaccurate at range. Very powerful against Infantry",,70,"Hoher Angriff, aber ungenau auf Distanz. Sehr stark gg. Infanterie","Potente su attacchi ravvicinati, ma poco preciso alla lunga distanza. Bonus di attacco contro la fanteria","Ataque fuerte, pero poco preciso a larga distancia. Muy poderoso contra Infantería"
Reveal the position of all enemy Kings to your team for a few seconds,,69,Zeigt für ein paar Sekunden die Position feindlicher Könige,Rivela alla propria squadra per pochi secondi la posizione di tutti i re nemici,Revela la posición de todos los Reyes enemigos a tu equipo durante unos pocos segundos
Upgrading Fortified Walls also increases the hit points of your Gates,,69,Entwickeln von Befestigter Wall erhöht auch die LP deiner Tore,Il potenziamento delle mura fortificate aumenta anche i punti vita dei cancelli,Mejorar a Muralla Fortificada también aumenta los puntos de golpe de tus Puertas
"Italian mercenary unit, available when teamed with an Italian player",,68,"Italienischer Söldner, verfügbar mit einem Italiener im Team","Unità mercenaria italiana, disponibile se si è in squadra con un giocatore italiano","Unidad mercenaria italiana, disponible cuando se sea aliado de un jugador italiano"
"The further apart two markets are, the more efficient a tradeline is",,68,"Je weiter Marktplätze entfernt sind, umso effizienter die Handelsroute","Più due mercati sono lontani, più il commercio risulta efficiente","Mientras más lejos se encuentren los mercados, más eficiente es la ruta comercial"
Trebuchets fire 33% faster and pack/unpack 4x faster (2.75s vs. 11s),,68,Triböke feuern 33% schneller und bauen sich 4x schneller auf/ab (2.75s statt 11s),I trabucchi attaccano con 33% maggiore velocità e si smontano/montano 4 volte più velocemente (2.75s vs. 11s),Trebuchets disparan un 33% más rápido y se [des]arman cuatro veces más rápido (2.75s vs 11s)
"Upgraded by Archer Armor, but not Ballistics, TR, attack/range techs",,68,Kann nur mit Bogens.-Rüstung und Stall-Techs verbessert werden,"Potenziato dalle corazze per arciere, ma non da balistica, anello e potenziamenti per attacco/gittata","Se beneficia de la Armadura de Arqueros, pero no de la Balística, Dactilera o las tecnologías de ataque/alcance"
Building a Wonder demonstrates the superiority of your civilization,,67,Ein Wunder zu bauen bezeugt die Überlegenheit deines Reichs,La costruzione di una meraviglia dimostra la superiorità di una civiltà,Construir una Maravilla demuestra la superioridad de tu civilización
Cheap and weak infantry unit that only takes half a population slot,,67,"Billige, schwache Infanterie die nur 0.5 Bevölkerung braucht",Fanteria economica ma debole che occupa solo metà spazio di popolazione,Infantería barata y débil que sólo ocupa medio espacio de población
"Powerful against Infantry, partially immune to anti-Cavalry damage",,66,"Stark gg. Infanterie, teilw. immun gg. anti-Kavallerie Schaden","Efficace contro la fanteria, parzialmente immune al danno anti-cavalleria","Poderoso contra Infantería, parcialmente inmune al daño anti-Caballería"
"Powerful Building, provides 20 population space and garrison space",,66,"Mächtiges Gebäude, bietet 20 Bevölkerung und Quartierplätze","Costruzione dalla elevata potenza, fornisce 20 spazi di popolazione e può essere presidiato","Edificio poderoso, ofrece 20 espacios de población y espacio para guarnición"
"repair cost: half Building cost (except TC: 2x wood cost, 1 stone)",,66,"Reparaturkosten: Halbe Baukosten (außer DZ: 2x Holz Kosten, 1 Stein)","costo di riparazione: metà del costo della costruzione (eccetto i centri città: 2x costo di legname, 1 di pietra)","coste de reparación: la mitad del coste del Edificio (excepto el Centro Urbano: 2x coste en madera, 1 de piedra)"
Strong vs. slow or expensive units. Weak vs. ranged or scout units,,66,Stark gg. langsame oder teure Einheiten. Schwach gg. Fernkampf- oder Spähereinheiten,Forte contro unità costose o lente. Debole contro unità a distanza o esploratori a cavallo e suoi potenziamenti,Fuerte contra unidades lentas o caras. Débil contra unidades a distancia o de exploración
Villagers will deposit any resource they hold when building a farm,,66,Beim Bauen eines Feldes werden Dorfbewohner alle getragenen Ressourcen in den Vorrat ablegen,Gli abitanti depositeranno qualsiasi tipo di risorsa trasportino dopo aver costruito una fattoria,Los Aldeanos depositan cualquier recurso que estén llevando cuando construyan una granja
Chu Ko Nus have +2 Pierce attack; Scorpions have +4 Pierce attack,,65,Chu Ko Nus haben +2 Fernkampfangriff; Skorpione haben +4 Fernkampfangriff,"I Chu Ko Nu ottengono +2 di attacco a distanza, le Balestre +4 di attacco a distanza",+2 ataque para Chu Ko Nus; +4 ataque para escorpiones
"Mounted Hand Cannoneer. Powerful attack, but inaccurate at range",,64,"Berittener Kanonier. Hoher Angriff, aber ungenau.",Cannoniere a cavallo. Potente negli attacchi ravvicinati ma poco preciso a distanza,"Artillero Manual Montado. Ataque poderoso, pero poco preciso a larga distancia"
"Powerful against Buildings on the shore, but weak to other ships",,64,"Stark gg. Gebäude, aber schwach gg. andere Schiffe","Efficace contro le costruzioni sulla costa, ma debole contro le altre navi","Poderoso contra Edificios costeros, pero débil frente a otros barcos"
"Powerful vs. Buildings, strong vs. Pierce attacks, weak to Melee",,64,"Stark gg. Gebäude, gepanzert gg. Pfeile, verwundbar im Nahkampf","Potente contro le costruzioni, resistente agli attacchi a distanza, debole a quelli corpo a corpo","Poderoso contra Edificios, fuerte contra Ataques de Proyectiles, débil en Melé"
Build near stone or gold mines to gather these resources faster,,63,"Baue neben Gold- oder Steinminen, um diese Ressourcen schneller zu sammeln","Per rendere più veloce la raccolta delle risorse, costruire aree minerarie vicino a cave e iniere",Constrúyelo cerca de minas de piedra u oro para recolectar estos recursos más rápido
"High HP, slow Cavalry Archer with an attack bonus vs. Buildings",,63,Langsamer Ber. Bogenschütze mit hohen LP und Bonus gg. Gebäude,Arciere a cavallo lento con elevati punti vita. Bonus di attacco contro le costruzioni,"Arquero a Caballo lento, con altos PR y un bonus de ataque contra Edificios"
Houses don't lose their population room when they are destroyed,,63,Häuser verlieren keine Kapazität wenn sie zerstört werden,"Quando una casa viene distrutta, la popolazione massima non cala",Las Casas no pierden su capacidad de población cuando son destruidas
"Improves your Archers, Crossbowmen and Arbalests by giving them",,63,"Verbessert deine Bogen-, Armbrust, Arbalestenschützen. Sie bekommen:","Migliora arcieri, balestrieri e balestrieri scelti fornendo loro","Mejora tus Arqueros, Ballesteros y Arbalestas al darles"
Trade Carts should be built instead of Trade Cogs in most cases,,63,"Marktkarren sollten meistens statt Handelskoggen gebaut werden, wenn möglich","Di norma, i carri da carico dovrebbero essere preferiti alle navi da carico",Se deberían crear Carretas de Mercancías en lugar de Urcas Mercantes en la mayoría de los casos
Cost: 200 per enemy villager for Spies/400 per use for Treason,,62,Kosten: 200 Gold pro feindlichem Dorfbewohnen für Spione/Je 400 Gold für Verrat,Costo: spie: 200 unità per abitante nemico; tradimento: 400 unità per utilizzo),Coste: 200 por cada aldeano enemigo para Espionaje/400 por uso para Traición
"Mounted Skirmisher, available when teamed with a Berber player",,62,"Berittener Plänkler, benötigt Berber im Team","Fanteria leggera a cavallo, disponibile se si è in squadra con un giocatore berbero","Guerrillero Montado, disponible para tus aliados"
"Siege weapon firing bullets, effective against groups of units",,62,"Schießpulver-Belagerungswaffe, gut gegen Gruppen","Unità da assedio che spara proiettili, ideale contro gruppi di unità","Arma de Asedio que dispara balas, efectiva contra grupos de unidades"
Units can garrison inside for protection and additional arrows,,62,Einheiten können zum Schutz und für zusätzliche Pfeile einquartiert werden,Può essere presidato da unità a scopo difensivo o per aumentarne il numero di frecce,Las unidades pueden guarecerse en su interior para protegerse y proporcionar flechas adicionales
Slows down your enemies so you have a chance to fend them off,,61,Blockiert Gegner und dient zur Warnung,Rallentano l'avanzata dei nemici consentendo di rispondere all'attacco,Ralentiza a tus enemigos para que tengas la posibilidad de rechazarlos
Strengthens all Buildings (except Walls + Gates) by providing,,61,Verstärkt Gebäude (außer Wälle + Tore) um ,Potenzia tutte le costruzioni (esclusi mura e cancelli) fornendo loro,Fortalece todos los Edificios (excepto Muros y Puertas) al proporcionar
Used to deposit wood and research wood-gathering improvements,,61,Verwendet um Holz abzulegen und Holzfäller-Technologien zu erforschen,Utilizzata per depositare legname e potenziare le capacità di raccolta,Usado para depositar madera y desarrollar mejoras de para la recolección de madera
Automatically attacks enemy units and buildings within range,,60,Greit auftomatisch feindliche Einheiten und Gebäuder in Reichweite an,Attacca in automatico unità e costruzioni nemiche entro il suo raggio d'azione,Ataca automaticamente a unidades y edificios enemigos que estén a su alcance
Enemies will see the construction site and get notifications,,60,Gegner werden die Bautstelle sehen und benachrichtig werden,I nemici possono vedere il sito di costruzione e ricevere notifiche,Los enemigos podrán ver el lugar de construcción y recibirán notificaciones
Infantry deal 5 damage to adjacent units in 0.5 blast radius,,60,Infanterie verursacht 5 Flächenschaden in 0.5 Radius,La fanteria causa 5 danni alle unità adiacenti entro un area di raggio 0.5,Infantería inflinge 5 puntos de daño a unidades adyacentes en un radio de 0.5
"Used to transport land units over water, can't defend itself",,60,"Verwendet um Einheiten über Wasser zu transportieren, kann sich nicht verteidigen",Consente di trasportare sull'acqua le unità. Non ha capacità combattive,"Usado para transportar unidades de tierra a través del agua, no puede defenderse"
"Receive +100 gold, +100 food when advancing to the next Age",,59,"Erhalten +100 Gold, +100 Nahrung nach jedem Fortschreiten",Ricevono +100 di oro e +100 di cibo quando avanzano all'età succesiva,"Reciben +100 oro, +100 comida cuando avanzan a la siguiente Edad"
"affected by Blacksmith upgrades, Chemistry and Heated Shot",,58,"von Schmiedeentwicklungen, Chemie und Glühendes Geschoss betroffen","Influenzato da potenziamenti del fabbro, chimica e proiettile incendiario","afectado por las mejoras de la Herrería, Química y Disparo al Rojo"
Can attack units from 1 tile away thanks to its long spear,,58,Kann mit seinem langen Speer auf 1 Feld Distanz angreifen,Può attaccare unità a distanza di 1 casella grazie alla sua lancia lunga,Puede atacar a unidades que se encuentren a un cuadro de distancia gracias a su larga lanza
Not affected by range/attack upgrades or Parthian Tactics,,57,Nicht beeinflusst von Parthisches Manöver und Reichweite/Attack-Techs,Non influenzato da potenziamenti di attacco/gittata o tattica dei Parti,No afectado por las mejoras de alcance/ataque o por Tácticas de los Partos
All arrow/bolt-firing units/buildings and Bombard Towers,,56,Alle Pfeil/Bolzen-schießende Einheiten/Gebäude und Kanonentürme,Tutte le unità e costruzioni che lanciano frecce o dardi e le torri con bombarda,Todas las unidades/edificios que disparen flechas o pernos y las Torres de Bombardeo
Cavalry Archer with quick firing and bonus against Siege,,56,schnell feuernder Ber. Bogenschütze mit Bonus gg. Belagerungswaffen,Arciere a cavallo veloce nel tirare frecce. Bonus di attacco contro le armi da assedio,Arquero a Caballo de disparo rápido y un bonus de ataque contra Armas de Asedio
Infantry with fast attack and bonus against Unique Units,,56,Infanterie mit schnellem Angriff und Bonus gg. Spezialeinheiten,Fanteria veloce nell'attacco. Bonus di attacco contro altre unità riservate,Infantería con un rápido ataque y un bonus de ataque contra Unidades Únicas
You or your allies can manually open and close this Gate,,56,Du und deine Verbündeten können das Tor manuell öffnen und schließen,Può essere aperto o chiuso manualmente anche dai propri alleati,Tú o tus aliados podeís abrir y cerrar manualmente esta Puerta
Cavalry Archer with bonus against other Cavalry Archers,,55,Ber. Bogenschütze mit Bonus gg. Ber. Bogenschützen,Arciere a cavallo con bonus di attacco contro altri arcieri a cavallo,Arquero a Caballo con bonus contra otros Arqueros a Caballo
researching the Spies/Treason technology costs 50% less,,55,Spione/Verrat zu erforschen kostet 50% weniger,riduce del 50% il costo per lo sviluppo della tecnologia spie/tradimento,Desarrollar la tecnología Espías/Traición cuesta un 50% menos
Slows down your enemies and warns you of their approach,,55,Blockiert Gegner und dient zur Warnung,Rallenta l'avanzata dei nemici e ne segnala l'avvicinamento,Ralentiza a tus enemigos y te avisa de su proximidad
